customer_id,age,gender,region,avg_order_value,orders_per_month,recency_days,tenure_months,pref_electronics,pref_clothing,pref_home,pref_sports,email_open_rate,app_sessions_per_week,ltv,churn
1,56,Female,East,43.29,1,50,12,0.306,0.492,0.613,0.063,0.34,1,767.97,0
2,69,Male,West,161.59,0,96,81,0.125,0.332,0.342,0.054,0.408,1,735.31,0
3,46,Female,West,117.37,1,44,22,0.382,0.511,0.092,0.224,0.341,1,2499.41,1
4,32,Female,Central,253.02,2,5,118,0.123,0.591,0.336,0.076,0.381,2,66003.76,0
5,60,Female,North,62.07,1,52,83,0.418,0.08,0.306,0.399,0.223,1,5714.79,0
6,25,Female,North,106.77,1,56,73,0.151,0.147,0.219,0.421,0.177,1,7592.59,0
7,78,Female,Central,70.02,1,78,76,0.468,0.4,0.106,0.359,0.165,1,6796.99,1
8,38,Male,East,99.67,1,85,96,0.125,0.096,0.121,0.114,0.32,2,9266.9,0
9,56,Male,East,67.77,0,88,117,0.206,0.376,0.47,0.172,0.067,2,717.65,0
10,75,Female,West,36.72,0,65,95,0.582,0.402,0.382,0.168,0.129,0,50.0,1
11,36,Male,West,76.73,2,14,81,0.216,0.133,0.031,0.074,0.124,0,15834.75,0
12,40,Female,Central,80.16,3,31,23,0.348,0.349,0.494,0.011,0.188,4,7960.33,1
13,28,Female,Central,153.11,0,89,74,0.221,0.501,0.364,0.266,0.105,3,50.0,1
14,28,Male,West,126.4,2,184,63,0.571,0.22,0.175,0.256,0.534,1,18729.55,0
15,41,Male,South,107.2,2,4,30,0.597,0.224,0.1,0.09,0.245,1,7127.93,0
16,70,Female,Central,29.63,3,46,19,0.474,0.024,0.298,0.382,0.381,1,1389.63,0
17,53,Male,North,122.01,1,22,26,0.313,0.377,0.613,0.097,0.603,2,4381.49,0
18,57,Female,North,75.5,1,15,90,0.301,0.065,0.312,0.462,0.009,2,7924.44,1
19,41,Male,Central,199.62,2,42,11,0.411,0.47,0.404,0.345,0.397,1,4486.18,0
